,card_number,expiry_date,card_provider,date_payment_confirmed
2,3529023891650490,06/23,JCB 16 digit,2000-12-26
5,3506661913512980,11/23,JCB 16 digit,2003-08-25
7,2321541881278150,02/29,Mastercard,1995-08-24
8,6011037917693140,02/24,Discover,1998-10-23
10,6501622116456490,10/28,Discover,2006-03-11
11,6502495513721380,11/27,Discover,2021-10-11
12,3551071736826240,11/31,JCB 16 digit,1993-07-16
14,3536516200696080,01/29,JCB 16 digit,2009-11-29
15,5222519319551540,01/26,Mastercard,2019-02-22
16,4537509987455280000,02/32,VISA 19 digit,2022-09-24
17,6011881097126120,10/26,Discover,1996-12-03
18,4204210033998580000,08/28,VISA 19 digit,2019-09-21
19,3540126062083770,09/32,JCB 16 digit,2021-04-27
21,3579161126932720,02/23,JCB 16 digit,2015-11-16
22,4045259395988290,06/28,VISA 16 digit,2011-01-23
23,4305628477334070000,07/24,VISA 19 digit,2017-03-06
24,6011112632675670,07/31,Discover,1999-02-08
26,3565388078802970,03/32,JCB 16 digit,2016-10-28
27,4413511328768020,12/30,VISA 16 digit,1995-08-15
28,3510326851192930,10/31,JCB 16 digit,2001-06-30
30,2296814173210180,06/24,Mastercard,2020-07-09
31,2297205767081190,10/30,Mastercard,2012-03-11
33,4024414397695410000,05/28,VISA 19 digit,1997-10-02
34,4529390944325970,08/23,VISA 16 digit,2009-04-15
37,4976058331830470000,08/26,VISA 19 digit,2021-09-29
38,4224188732297920,02/24,VISA 16 digit,1997-10-26
39,3514396157366920,03/29,JCB 16 digit,2004-11-06
41,3590999821623690,07/30,JCB 16 digit,2002-01-14
45,4499574398661660,01/24,VISA 16 digit,2016-08-07
47,3569354729407150,06/31,JCB 16 digit,1997-04-18
50,4923545896758580000,01/23,VISA 19 digit,2017-08-15
51,4145489239111500,02/30,VISA 16 digit,2018-08-31
52,4131871381315060,03/27,VISA 16 digit,2007-07-30
